dummy;counter_type;hadoop_job_id;counter_name;start_time;counter_group;counter_desc;counter_val;hadoop_task_id;general_info;hdfsPath;hadoopLogPath
junk;JOB_INFO;job_201407220146_0010;CPU_MILLISECONDS;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;CPU time spent (ms);46270;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;PHYSICAL_MEMORY_BYTES;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Physical memory (bytes) snapshot;1037316096;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;VIRTUAL_MEMORY_BYTES;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Virtual memory (bytes) snapshot;4064129024;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;COMMITTED_HEAP_BYTES;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Total committed heap usage (bytes);576520192;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;BYTES_READ;1406024986641;org.apache.hadoop.mapreduce.lib.input.FileInputFormatCounter;BYTES_READ;1582;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;;;;;;;Info:JobId=job_201407220146_0010;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;;;;;;;Info:JobMapProgress=1.0;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;;;;;;;Info:JobName=DemoWordCount_1406024984684;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;;;;;;;Info:JobPriority=2;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;;;;;;;Info:JobPriorityDesc=NORMAL;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;;;;;;;Info:JobReduceProgress=1.0;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;;;;;;;Info:JobStartTime=1406024986641;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;;;;;;;Info:JobState=2;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;;;;;;;Info:JobStateDesc=SUCCEEDED;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;;;;;;;Info:JobUsername=zeus;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;MAP_TASK;job_201407220146_0010;FILE_BYTES_READ;1406024993146;org.apache.hadoop.mapreduce.FileSystemCounter;FILE: Number of bytes read;0;task_201407220146_0010_m_000000;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
